Designator,Pin,PinName,Net,Category,Description
D3,2,,CELL_6+,二极管,二极管配置:-;正向压降(Vf):1V@250mA;直流反向耐压(Vr):100V;整流电流:150mA;
TP1,1,,$3N179,测试点,Test Point 测试点
TP2,1,,$3N178,测试点,Test Point 测试点
C4,1,,GND,电容,容值:220nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C4,2,,$3N100,电容,容值:220nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
D4,1,,$3N100,二极管,二极管配置:-;正向压降(Vf):1V@250mA;直流反向耐压(Vr):100V;整流电流:150mA;
D4,2,,GND,二极管,二极管配置:-;正向压降(Vf):1V@250mA;直流反向耐压(Vr):100V;整流电流:150mA;
D7,1,,$3N100,二极管,二极管配置:独立式;稳压值(标称值):3.6V;稳压值(范围):3.42V~3.78V;耗散功率(Pd):350mW;
D7,2,,GND,二极管,二极管配置:独立式;稳压值(标称值):3.6V;稳压值(范围):3.42V~3.78V;耗散功率(Pd):350mW;
R3,1,,CELL_6+,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
R3,2,,$3N14,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
R4,1,,CELL_4+,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
R4,2,,$3N55,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
R5,1,,CELL_3+,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
R5,2,,$3N73,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
R6,1,,CELL_2+,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
R6,2,,$3N97,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
R7,1,,CELL_1+,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
R7,2,,$3N103,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
TP3,1,,MUC_EXTI4_PB4_BMS_INT,测试点,Test Point 测试点
R8,1,,CELL_6+,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R8,2,,$3N15,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R1,1,,CELL_5+,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R1,2,,$3N120,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R9,1,,CELL_4+,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R9,2,,$3N125,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
